der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
unsachlich	unobjective, biased / необ'єктивний | Unsachliche Kommentare haben in einem professionellen Code-Review nichts zu suchen.
unter vier Augen	face-to-face, privately / віч-на-віч | Kritik an der Leistung besprechen wir besser privat unter vier Augen.
etw./jdn. vergiften (z. B. die Atmosphäre) (vergiftet, vergiftete, hat vergiftet)	to poison (e.g. the atmosphere) / отруювати (напр., атмосферу) | Ständiges Meckern kann die Arbeitsatmosphäre im Team vergiften.
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати | Wir müssen Fehler und Redundanzen im Code unbedingt vermeiden (DRY).
Verständnis zeigen für (+ Akk.) (zeigt, zeigte, hat gezeigt)	to show understanding for / виявляти розуміння | Der Arbeitgeber muss Verständnis für familiäre Notfälle zeigen.
der Zeitdruck (Sg.)	time pressure / брак часу | Wir arbeiten beim aktuellen Sprint leider unter enormem Zeitdruck.
die Aufnahme, -n	recording, photo, admission / знімок, запис, прийом | Wir machen eine Aufnahme der Fehlermeldung (Screenshot) für das Ticket.
einen Berg besteigen (besteigt, bestieg, hat bestiegen)	to climb a mountain / підніматися на гору | Im Urlaub möchte der Chef in den Alpen einen Berg besteigen.
die Butterbrezel, -n	butter pretzel / брецель з маслом | Zum gemeinsamen Frühstück im Büro gibt es heute frische Butterbrezeln.
der Einstand (Sg.)	debut, starting a new job / початок роботи, вступ на посаду | Zur Feier seines Einstands bringt der neue Entwickler Kuchen mit.
die Einstandsfeier, -n	welcome party (for a new employee) / вечірка на честь нового співробітника | Die Einstandsfeier für das neue Teammitglied findet Freitag nach Feierabend statt.
sich erholen (erholt sich, erholte sich, hat sich erholt)	to recover, to rest / відпочивати, відновлюватися | Am Wochenende muss ich mich vom stressigen Programmieren erholen.
etw. genehmigen (genehmigt, genehmigte, hat genehmigt)	to approve / схвалювати, затверджувати | Der IT-Leiter muss meinen Urlaubsantrag erst genehmigen.
die Kreuzfahrt, -en	cruise / круїз | Mein Teamlead macht im Sommer eine Kreuzfahrt im Mittelmeer.
in der Regel	usually, as a rule / зазвичай | In der Regel pushen wir freitagnachmittags keinen neuen Code auf Produktion.
etw. stückeln (z.B. den Urlaub) (stückelt, stückelte, hat gestückelt)	to split up, to piece together / розбивати на частини (напр., відпустку) | Wegen des großen Projekts muss ich meinen Jahresurlaub leider stückeln.
der Urlaubsantrag, "-e	leave application, vacation request / заява на відпустку | Ich habe meinen Urlaubsantrag digital im HR-System eingereicht.
sich aufhalten (hält sich auf, hielt sich auf, hat sich aufgehalten)	to stay, to linger / перебувати, затримуватися | In der Mittagspause halte ich mich gerne in der gemütlichen Büro-Küche auf.
etw. beklagen (beklagt, beklagte, hat beklagt)	to complain about, to lament / скаржитися на | Viele Entwickler beklagen die schlechte Dokumentation der alten API.
zu einem Ergebnis kommen (kommt, kam, ist gekommen)	to come to a conclusion/result / дійти висновку / результату | Wir müssen in diesem Meeting zu einem Ergebnis beim Datenbank-Design kommen.
das Freizeitverhalten (Sg.)	leisure behavior / проведення вільного часу | Das Freizeitverhalten vieler Entwickler schließt Videospiele (Gaming) ein.
die Freizeitbeschäftigung, -en	leisure activity / заняття у вільний час | Programmieren ist für manche nicht nur Beruf, sondern auch Freizeitbeschäftigung.
der Mittagsschlaf (Sg.)	afternoon nap / післяобідній сон | Im Homeoffice mache ich manchmal einen kurzen Mittagsschlaf (Powernap).
das Multitasking (Sg.)	multitasking / багатозадачність | Multitasking beim Coden führt nachweislich zu mehr Fehlern im System.
repräsentativ	representative / репрезентативний | Die Umfrage unter den Usern der neuen App ist sehr repräsentativ.
eine repräsentative Studie	a representative study / репрезентативне дослідження | Eine repräsentative Studie zeigt, dass IT-Fachkräfte viel Kaffee trinken.
die Stiftung, -en	foundation, charity / фонд | Die Firma spendet an eine Stiftung, die IT-Bildung für Kinder fördert.
etw. unternehmen (unternimmt, unternahm, hat unternommen)	to undertake, to do (an activity) / робити, здійснювати (часто разом) | Am Wochenende möchte ich etwas mit meinen IT-Kollegen unternehmen.
sich etw. vornehmen (nimmt sich vor, nahm sich vor, hat sich vorgenommen)	to plan to do sth., to resolve / планувати, задумувати | Ich habe mir vorgenommen, dieses Jahr die Programmiersprache Rust zu lernen.
die Anweisung, -en	instruction, directive / інструкція, вказівка | Bitte folgen Sie der Anweisung im Readme-File für die Installation.
das Ersatzfahrzeug, -e	replacement vehicle / підмінний автомобіль | Während mein Firmenwagen in der Werkstatt ist, nutze ich ein Ersatzfahrzeug.
das Ersatzteil, -e	spare part / запасна частина | Wir brauchen dringend ein Ersatzteil für den defekten Server im Rack.
das Fahrzeug, -e	vehicle / транспортний засіб | Ein autonomes Fahrzeug wird durch komplexe KI-Algorithmen gesteuert.
der Gebrauchtwagen, -	used car / вживаний автомобіль | Der IT-Consultant kauft sich einen Gebrauchtwagen für die Fahrten zum Kunden.
die Gehaltsabrechnung, -en	payslip, salary statement / розрахунковий листок (по зарплаті) | Die HR-Abteilung schickt mir jeden Monat meine Gehaltsabrechnung per E-Mail.
die Inspektion, -en	inspection, maintenance / огляд, техогляд | Das Backup-System muss einmal im Jahr zur technischen Inspektion.
jdn. kontaktieren (kontaktiert, kontaktierte, hat kontaktiert)	to contact sb. / зв'язуватися з кимось | Wenn der Server offline ist, müssen Sie sofort den IT-Support kontaktieren.
der Kundenservice (Sg.)	customer service / служба підтримки клієнтів | Unser Software-Unternehmen hat einen exzellenten 24/7 Kundenservice.
etw. lackieren (lackiert, lackierte, hat lackiert)	to paint, to varnish / фарбувати, лакувати | Wir lassen die Gehäuse der neuen Hardware in unseren Firmenfarben lackieren.
der Liefertermin, -e	delivery date / дата доставки | Der Liefertermin für die neuen Monitore hat sich leider verschoben.
die Lieferverzögerung, -en	delivery delay / затримка доставки | Wegen einer Lieferverzögerung können wir das Netzwerk noch nicht aufbauen.
der Montagetermin, -e	assembly/installation appointment / дата монтажу / встановлення | Der Techniker hat einen Montagetermin für den neuen Router gebucht.
der Neuwagen, -	new car / новий автомобіль | Als Teamlead bekommt er einen Neuwagen als Firmenauto.
preisgünstig	reasonably priced, cheap / недорогий, вигідний | Wir nutzen einen preisgünstigen Cloud-Anbieter für unsere Test-Umgebungen.
das Reifenlager, -	tire storage / склад шин | Die Winterreifen der Firmenautos liegen im Reifenlager.
der Reparaturauftrag, "-e	repair order / замовлення на ремонт | Ich habe einen Reparaturauftrag für meinen defekten Firmen-Laptop erstellt.
der Sommerreifen, -	summer tire / літня шина | Im April wechseln wir am Dienstwagen auf Sommerreifen.
verhandeln (verhandelt, verhandelte, hat verhandelt)	to negotiate / вести переговори | Wir müssen mit dem Cloud-Provider über den Preis verhandeln.
vermitteln (vermittelt, vermittelte, hat vermittelt)	to mediate, to convey / посередничати, передавати | Eine REST-API vermittelt die Daten zwischen Frontend und Backend.
der Vertriebsleiter, - / die Vertriebsleiterin, -nen	sales manager / керівник відділу продажів | Der Vertriebsleiter präsentiert dem Kunden unser neues CRM-System.
vorgehen (geht vor, ging vor, ist vorgegangen)	to proceed, to act / діяти, чинити | Wie sollen wir bei diesem kritischen Bug im System vorgehen?
der Wagenpark, -s	vehicle fleet / автопарк | Die Firma stellt ihren Wagenpark komplett auf Elektroautos um.
das Werbegeschenk, -e	promotional gift / рекламний подарунок | Auf der IT-Messe haben wir viele Powerbanks als Werbegeschenk verteilt.
den Wert schätzen	to estimate the value / оцінювати вартість | Wir müssen den Wert der alten Hardware schätzen, bevor wir sie verkaufen.
der Winterreifen, -	winter tire / зимова шина | Ohne Winterreifen darf man das Firmenauto bei Schnee nicht fahren.
etw. anschaffen (schafft an, schaffte an, hat angeschafft)	to acquire, to purchase / купувати, придбати (обладнання) | Wir müssen für das ganze Entwickler-Team neue Laptops anschaffen.
auftauchen (taucht auf, tauchte auf, ist aufgetaucht)	to appear, to pop up / з'являтися, виникати | Nach dem Update sind leider einige neue Bugs aufgetaucht.
daher	therefore, hence / тому, з цієї причини | Der Server war überlastet, daher ist die App abgestürzt.
darum	therefore, for that reason / тому, через це | Ich kenne das Framework nicht gut, darum lerne ich es am Wochenende.
die technischen Daten (Pl.)	technical data/specifications / технічні характеристики / дані | In den technischen Daten steht, dass der Prozessor 8 Kerne hat.
dennoch	nevertheless, yet / тим не менш, проте | Der Code war unsauber, dennoch hat das Programm funktioniert.
deshalb	therefore, that's why / тому, ось чому | Wir nutzen Microservices, deshalb ist unsere Architektur sehr flexibel.
deswegen	therefore, because of that / тому, через це | Das Passwort war zu schwach, deswegen wurde der Account gehackt.
das Eigengewicht, -e	dead weight, own weight / власна вага | Das Eigengewicht des großen Server-Racks beträgt über 100 Kilogramm.
erforderlich	required, necessary / необхідний | Für die Installation der Software sind Administratorrechte erforderlich.
folglich	consequently, as a result / отже, внаслідок цього | Das Budget wurde gekürzt, folglich können wir keine neuen Tools kaufen.
die Gewährleistung, -en	warranty, guarantee / гарантія (за законом) | Auf diese Hardware haben wir noch zwei Jahre Gewährleistung.
die Geschwindigkeit, -en	speed / швидкість | Die Lade-Geschwindigkeit der Webseite wurde durch das Caching verdoppelt.
