#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
eine Dienstreise antreten;eine Dienstreise antreten;to go on a business trip;відправитися у відрядження;Der Projektmanager muss eine Dienstreise in die USA antreten.
durchschnittlich;durchschnittlich;average, on average;в середньому, середньостатистичний;Ein Bugfix dauert bei uns durchschnittlich zwei Stunden.
das Firmengelände, -;das Firmengelände;company grounds, premises;територія компанії;Auf dem gesamten Firmengelände gibt es kostenloses WLAN.
der Firmenparkplatz, "-e;der Firmenparkplatz;company car park;корпоративна парковка;Die Entwickler haben einen eigenen Firmenparkplatz.
ganztägig;ganztägig;all-day, full-day;на цілий день;Morgen haben wir einen ganztägigen Workshop zu Kubernetes.
die Genehmigung, -en;die Genehmigung;approval, permit;дозвіл, затвердження;Ich brauche die Genehmigung vom Chef für das Software-Upgrade.
die Ladestation, -en;die Ladestation;charging station;зарядна станція;Es gibt eine Ladestation für Elektroautos auf dem Firmenparkplatz.
die Lautsprecheranlage, -n;die Lautsprecheranlage;public address system, PA system;система гучномовців;Eine Durchsage über die Lautsprecheranlage warnt vor dem Feueralarm.
das Nettoeinkommen, -;das Nettoeinkommen;net income;чистий дохід (нетто);Mein Nettoeinkommen ist nach Abzug der Steuern immer noch sehr gut.
die Nutzung, -en;die Nutzung;use, usage;використання;Die private Nutzung der Test-Server ist strengstens verboten.
der Ruhestand (Sg.);der Ruhestand;retirement;вихід на пенсію;Unser Senior-Architekt geht nächstes Jahr in den Ruhestand.
die Telefonbenutzung (Sg.);die Telefonbenutzung;telephone usage;користування телефоном;Die private Telefonbenutzung ist im Großraumbüro nicht erwünscht.
üblich;üblich;usual, common;звичайний, прийнятий;In agilen Teams ist das Duzen der Kollegen üblich.
etw. untersagen;untersagen;to prohibit, to forbid;забороняти;Der IT-Sicherheit ist es untersagt, Passwörter im Klartext zu speichern.
der Verwaltungsbereich, -e;der Verwaltungsbereich;administrative area;адміністративний відділ;Der Verwaltungsbereich kümmert sich um die Lizenzen der Software.
die Wertsache, -n;die Wertsache;valuable item;цінна річ;Bitte lassen Sie keine Wertsachen offen auf dem Schreibtisch liegen.
der Abstand, "-e;der Abstand;distance, gap;відстань, дистанція;Bitte halten Sie genug Abstand zu den heißen Servern.
aufdringlich;aufdringlich;intrusive, pushy;нав'язливий;Zu viele Push-Benachrichtigungen in der App wirken auf die User aufdringlich.
jdn. belästigen (belästigt, belästigte, hat belästigt);belästigen;to harass, to bother;турбувати, докучати;Ein Kollege darf dich am Wochenende nicht mit Arbeits-Mails belästigen.
die Distanz (Sg.);die Distanz;distance;дистанція;Trotz Remote-Work versuchen wir, keine persönliche Distanz im Team aufzubauen.
etw. einhalten (hält ein, hielt ein, hat eingehalten);einhalten;to comply with, to keep (e.g., rules/deadlines);дотримуватися (правил, строків);Wir müssen die Deadline für das Projekt unbedingt einhalten.
etw. empfinden (empfindet, empfand, hat empfunden);empfinden;to feel, to perceive;відчувати, сприймати;Ich empfinde das neue UI-Design als sehr angenehm.
intim;intim;intimate;інтимний, особистий;Gehälter sind in vielen Firmen ein intimes und vertrauliches Thema.
etw./jdm. nahekommen (kommt nahe, kam nahe, ist nahegekommen);etw.;to approach, to come close to;наближатися до;Dieser Lösungsansatz kommt der perfekten Architektur schon sehr nahe.
das Publikum (Sg.);das Publikum;audience;публіка, аудиторія;Das Publikum bei der Tech-Konferenz war sehr interessiert an meinem Vortrag.
der Referent, -en / die Referentin, -nen;der Referent;speaker, presenter;доповідач;Der Referent erklärt die Vorteile von maschinellem Lernen.
unangenehm;unangenehm;unpleasant, uncomfortable;неприємний;Es ist unangenehm, dem Kunden einen kritischen Bug beichten zu müssen.
das Arbeitsklima (Sg.);das Arbeitsklima;working atmosphere;робоча атмосфера;Ein gutes Arbeitsklima ist für die Motivation der Entwickler extrem wichtig.
die Atmosphäre (Sg.);die Atmosphäre;atmosphere;атмосфера;Die Atmosphäre im Team ist nach dem erfolgreichen Release sehr entspannt.
ausreden (lässt ausreden, ließ ausreden, hat ausreden lassen);ausreden;to finish speaking;договорити (до кінця);Bitte lass mich im Daily Standup kurz ausreden.
die Ausstattung, -en;die Ausstattung;equipment, facilities;обладнання, оснащення;Die technische Ausstattung in unserem Büro (Monitore, Stühle) ist top.
das Beratungsgespräch, -e;das Beratungsgespräch;consultation, advisory discussion;консультація;Das Beratungsgespräch mit dem IT-Consultant hat uns sehr geholfen.
der Besprechungspunkt, -e;der Besprechungspunkt;agenda item, point of discussion;пункт обговорення;Der wichtigste Besprechungspunkt heute ist die neue Server-Architektur.
der Bestseller, -;der Bestseller;bestseller;бестселер;Dieses Buch über Clean Code ist ein absoluter Bestseller.
die Beteiligung, -en;die Beteiligung;participation;участь;Die Beteiligung aller Entwickler am Code-Review ist Pflicht.
dadurch, dass;dadurch;due to the fact that, because;через те, що;Dadurch, dass wir agil arbeiten, können wir Fehler schneller fixen.
effektiv;effektiv;effective(ly);ефективний;Wir müssen unsere Meetings kürzer und effektiver gestalten.
die Ergänzung, -en;die Ergänzung;addition, supplement;доповнення;Ich habe noch eine kurze Ergänzung zum Protokoll von gestern.
etw. festlegen (legt fest, legte fest, hat festgelegt);festlegen;to determine, to set;визначати, встановлювати;Wir müssen die genaue Deadline für das nächste Release festlegen.
die Gelegenheit bieten (bietet, bot, hat geboten);die Gelegenheit bieten;to offer an opportunity;надавати можливість;Das Projekt bietet die Gelegenheit, neue Cloud-Technologien zu lernen.
die Gesprächsregel, -n;die Gesprächsregel;rule of conversation;правило спілкування;Eine wichtige Gesprächsregel im Team ist, einander ausreden zu lassen.
etw. gestalten (gestaltet, gestaltete, hat gestaltet);gestalten;to design, to structure;оформлювати, структурувати;Der Designer hilft uns, das UI der App moderner zu gestalten.
sich halten an (+ Akk.) (hält sich, hielt sich, hat sich gehalten);sich halten an;to stick to, to abide by;дотримуватися (чогось);Wir müssen uns strikt an die Coding-Guidelines halten.
indem;indem;by (doing something);тим, що / шляхом;Wir optimieren den Code, indem wir redundante Schleifen entfernen.
die Klarheit, -en;die Klarheit;clarity;ясність, чіткість;Bei der API-Dokumentation brauchen wir absolute Klarheit für die User.
Kritik üben;Kritik üben;to criticize;критикувати;Im Pull Request üben wir oft konstruktive Kritik am Code.
leiten (leitet, leitete, hat geleitet);leiten;to lead, to manage;керувати;Der Scrum Master wird das heutige Meeting leiten.
das Meeting, -s;das Meeting;meeting;мітинг, зустріч;Das wöchentliche Entwickler-Meeting beginnt um 10 Uhr.
das Prospektmaterial, -ien;das Prospektmaterial;brochures, promotional material;рекламні матеріали;Das Marketing erstellt neues Prospektmaterial für unsere Software.
das Protokoll, -e;das Protokoll;protocol, minutes;протокол, лог;Wer schreibt heute das Protokoll für die Teambesprechung?
der Stand (Sg.);der Stand;status, state;стан;Können Sie mir bitte den aktuellen Stand der Entwicklung mitteilen?
die Tagesordnung, -en;die Tagesordnung;agenda;порядок денний;Der nächste Punkt auf der Tagesordnung ist das Datenbank-Update.
der Tagesordnungspunkt, -e;der Tagesordnungspunkt;agenda item;пункт порядку денного;Welcher Tagesordnungspunkt im Sprint Planning ist am wichtigsten?
die Teamsitzung, -en;die Teamsitzung;team meeting;командне засідання;Die Teamsitzung findet ab jetzt immer im Konferenzraum statt.
verfassen (verfasst, verfasste, hat verfasst);verfassen;to write, to draft;складати, писати;Ich muss noch die Release Notes für das neue Update verfassen.
der Verkaufsberater, - / die Verkaufsberaterin, -nen;der Verkaufsberater;sales consultant;продавець-консультант;Der Verkaufsberater präsentiert dem Kunden unser CRM-System.
abraten von (+ Dat.) (rät ab, riet ab, hat abgeraten);abraten von;to advise against;відмовляти від;Ich rate dringend davon ab, diese veraltete Bibliothek zu nutzen.
abwesend;abwesend;absent;відсутній;Zwei Entwickler sind heute leider wegen Krankheit abwesend.
anwesend;anwesend;present;присутній;Glücklicherweise sind alle Projektleiter beim Meeting anwesend.
die Anzeigenkampagne, -n;die Anzeigenkampagne;advertising campaign;рекламна кампанія;Die Anzeigenkampagne für die neue App startet nächste Woche auf LinkedIn.
der Aufbau, -ten;der Aufbau;structure, setup;структура, побудова;Der Aufbau der Datenbank muss für mehr Performance optimiert werden.
die Ausstellung, -en;die Ausstellung;exhibition;виставка;Wir präsentieren unsere VR-Brille auf einer großen Tech-Ausstellung.
jdn. beauftragen (beauftragt, beauftragte, hat beauftragt);beauftragen;to assign, to commission;доручати;Wir beauftragen eine externe Agentur mit dem Penetration-Test.
das Beratungsprotokoll, -e;das Beratungsprotokoll;consultation protocol;протокол консультації;Das Beratungsprotokoll fasst die Wünsche des Kunden detailliert zusammen.
Druck machen (macht, machte, hat gemacht);Druck machen;to put pressure on;тиснути;Der Kunde macht Druck, weil das Projekt nicht pünktlich fertig wird.
das Ergebnisprotokoll, -e;das Ergebnisprotokoll;minutes of results;протокол рішень / результатів;Im Ergebnisprotokoll stehen alle Beschlüsse, die wir getroffen haben.
das Gesprächsprotokoll, -e;das Gesprächsprotokoll;minutes of a meeting;протокол бесіди;Ich sende euch das Gesprächsprotokoll nach dem Meeting per E-Mail.
der Gesprächstermin, -e;der Gesprächstermin;appointment for a discussion;час бесіди, зустріч;Wir brauchen einen neuen Gesprächstermin mit dem Product Owner.
hilfsbereit;hilfsbereit;helpful;готовий допомогти;Mein IT-Team ist immer sehr hilfsbereit, wenn ich einen Bug nicht finde.
das Messegespräch, -e;das Messegespräch;trade fair discussion;розмова на виставці;Das Messegespräch mit dem potenziellen Investor war sehr erfolgreich.
der Messestand, "-e;der Messestand;exhibition stand;виставковий стенд;Unser Startup hat einen kleinen Messestand auf der Web Summit.
die Möbelmesse, -n;die Möbelmesse;furniture fair;меблева виставка;Wir haben unsere 3D-Design-Software auf der Möbelmesse vorgestellt.
die Protokollführung (Sg.);die Protokollführung;taking of minutes;ведення протоколу;Die Protokollführung übernimmt heute ausnahmsweise der Praktikant.
der Schwerpunkt, -e;der Schwerpunkt;focus, main emphasis;головна увага, акцент;Der Schwerpunkt dieses Sprints liegt ganz klar auf Bugfixes.
